Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 03s,,,,,,,00001,245760,3678208,24576
00h 00m 03s,2983,7,0,0,11316,2983,00000,245760,3678208,24576
00h 00m 06s,11646,13,0,0,11322,8663,00013,245760,3678208,24576
00h 00m 06s,17438,20,0,0,11332,5792,,245760,3678208,24576
00h 00m 06s,28958,26,0,0,11430,11520,,245760,3678208,24576
00h 00m 11s,37106,32,0,0,11480,8148,00037,245760,3678208,24576
00h 00m 11s,41607,40,0,0,11498,4501,00041,245760,3678208,24576
00h 00m 11s,45762,44,0,0,11894,4155,00045,245760,3678208,24576
00h 00m 11s,50133,48,0,0,11956,4371,00050,245760,3678208,24576
00h 00m 11s,54592,55,0,0,11962,4459,00053,245760,3678208,24576
00h 00m 22s,59097,60,0,0,12014,4505,00064,245760,3678208,24576
00h 00m 22s,61924,66,0,0,12063,2827,00067,245760,3678208,24576
00h 00m 22s,63386,69,0,0,12365,1462,,245760,3678208,24576
00h 00m 22s,65333,74,0,0,12376,1947,00073,245760,3678208,24576
00h 00m 22s,67054,76,0,0,12383,1721,00076,245760,3678208,24576
00h 00m 22s,69553,78,0,0,12395,2499,,245760,3678208,24576
00h 00m 22s,71264,81,0,0,12449,1711,,245760,3678208,24576
00h 00m 22s,72841,84,0,0,12495,1577,,245760,3678208,24576
00h 00m 22s,74419,86,0,0,12496,1578,00086,245760,3678208,24576
00h 00m 22s,77232,87,0,0,12521,2813,00085,245760,3678208,24576
00h 00m 22s,79618,88,0,0,12524,2386,,245760,3678208,24576
00h 00m 22s,81642,89,0,0,12524,2024,,245760,3678208,24576
00h 00m 46s,84379,91,0,0,12540,2737,,245760,3678208,24576
00h 00m 46s,88735,92,0,0,12543,4356,,245760,3678208,24576
00h 00m 46s,93001,93,0,0,12553,4266,,245760,3678208,24576
00h 00m 46s,97208,95,0,0,12558,4207,,245760,3678208,24576
00h 00m 46s,101436,95,0,0,12558,4228,,245760,3678208,24576
00h 00m 46s,105986,95,0,0,12558,4550,,245760,3678208,24576
00h 00m 46s,111038,97,0,0,12562,5052,00097,245760,3678208,24576
00h 00m 46s,116117,98,0,0,12563,5079,,245760,3678208,24576
00h 00m 46s,120128,100,0,0,12565,4011,,245760,3678208,24576
00h 00m 46s,123850,102,0,0,12579,3722,,245760,3678208,24576
00h 00m 46s,126165,103,0,0,12579,2315,,245760,3678208,24576
00h 00m 46s,128589,105,0,0,12582,2424,,245760,3678208,24576
00h 00m 46s,130899,107,0,0,12645,2310,00106,245760,3678208,24576
00h 00m 46s,133099,108,0,0,12646,2200,,245760,3678208,24576
00h 00m 46s,135666,108,0,0,12646,2567,,245760,3678208,24576
00h 00m 46s,137865,109,0,0,12650,2199,,245760,3678208,24576
00h 00m 46s,140154,110,0,0,12651,2289,00108,245760,3678208,24576
00h 00m 46s,142256,110,0,0,12651,2102,,245760,3678208,24576
00h 00m 46s,144285,112,0,0,12671,2029,,245760,3678208,24576
00h 00m 46s,146551,112,0,1,12671,2266,,245760,3678208,24576
00h 00m 46s,148556,115,0,1,12793,2005,,245760,3678208,24576
00h 00m 46s,149266,118,0,1,12797,710,00117,245760,3678208,24576
00h 00m 46s,150270,120,0,1,12813,1004,00120,245760,3678208,24576
00h 01m 14s,151389,121,0,1,12813,1119,,245760,3678208,24576
00h 01m 14s,152140,121,0,1,12813,751,,245760,3678208,24576
00h 01m 14s,152976,123,0,2,12828,836,00124,245760,3678208,24576
00h 01m 14s,154467,125,0,2,12846,1491,,245760,3678208,24576
00h 01m 14s,156320,127,0,2,12851,1853,,245760,3678208,24576
00h 01m 14s,157728,129,0,2,12873,1408,00128,245760,3678208,24576
00h 01m 14s,159192,129,0,2,12873,1464,,245760,3678208,24576
00h 01m 14s,160555,130,0,3,12876,1363,,245760,3678208,24576
00h 01m 14s,161891,130,0,3,12876,1336,00131,245760,3678208,24576
00h 01m 14s,162634,132,0,3,12878,743,,,,
00h 01m 14s,163078,132,0,3,12878,444,,,,
00h 01m 14s,163521,132,0,3,12878,443,,,,
00h 01m 14s,163942,132,0,3,12878,421,,245760,3678208,24576
00h 01m 14s,164400,133,0,4,12879,458,,245760,3678208,24576
00h 01m 14s,164834,133,0,4,12879,434,,245760,3678208,24576
00h 01m 14s,165255,133,0,4,12879,421,00132,245760,3678208,24576
00h 01m 14s,166243,136,0,4,12883,988,00135,245760,3678208,24576
00h 01m 14s,167041,136,0,4,12883,798,,245760,3678208,24576
00h 01m 14s,167421,136,0,5,12883,380,,245760,3678208,24576
00h 01m 14s,167851,137,0,5,12884,430,,245760,3678208,24576
00h 01m 14s,168183,137,0,5,12884,332,,245760,3678208,24576
00h 01m 14s,168491,137,0,5,12884,308,,245760,3678208,24576
00h 01m 14s,168778,137,0,5,12884,287,,245760,3678208,24576
00h 01m 14s,169183,138,0,5,12886,405,,245760,3678208,24576
00h 01m 14s,169616,139,0,6,12887,433,00138,245760,3678208,24576
00h 01m 14s,170332,139,0,6,12887,716,,245760,3678208,24576
00h 01m 14s,171140,139,0,6,12887,808,00137,245760,3678208,24576
00h 01m 14s,171935,139,0,6,12887,795,,245760,3678208,24576
00h 01m 40s,173080,139,0,6,12887,1145,00136,245760,3678208,24576
00h 01m 40s,173799,139,0,6,12887,719,,245760,3678208,24576
00h 01m 40s,174406,139,0,7,12887,607,00134,245760,3678208,24576
00h 01m 40s,175629,141,0,7,12897,1223,,245760,3678208,24576
00h 01m 40s,176100,142,0,7,12901,471,00142,245760,3678208,24576
00h 01m 40s,176812,143,0,7,12901,712,,245760,3678208,24576
00h 01m 40s,177195,144,0,7,12910,383,,245760,3678208,24576
00h 01m 40s,177624,144,0,8,12910,429,,245760,3678208,24576
00h 01m 40s,178013,145,0,8,12926,389,,245760,3678208,24576
00h 01m 40s,178410,145,0,9,12926,397,,245760,3678208,24576
00h 01m 40s,178848,145,0,9,12926,438,,245760,3678208,24576
00h 01m 40s,179326,145,0,9,12926,478,,245760,3678208,24576
00h 01m 40s,179728,145,0,9,12926,402,,245760,3678208,24576
00h 01m 40s,180132,145,0,10,12926,404,,245760,3678208,24576
00h 01m 40s,180593,145,0,10,12926,461,,245760,3678208,24576
00h 01m 40s,180980,145,0,10,12926,387,,245760,3678208,24576
00h 01m 40s,181215,147,0,10,12928,235,,245760,3678208,24576
00h 01m 40s,181609,148,0,11,12942,394,,245760,3678208,24576
00h 01m 40s,182299,148,0,11,12955,690,,245760,3678208,24576
00h 01m 40s,183140,148,0,12,12955,841,,245760,3678208,24576
00h 01m 40s,183908,148,0,12,12955,768,,245760,3678208,24576
00h 01m 40s,184666,148,0,12,12955,758,00147,245760,3678208,24576
00h 01m 40s,185476,149,0,13,13040,810,00148,245760,3678208,24576
00h 01m 40s,186561,149,0,13,13040,1085,,245760,3678208,24576
00h 01m 40s,187500,151,0,13,13092,939,00150,245760,3678208,24576
00h 01m 40s,188378,154,0,14,13106,878,,245760,3678208,24576
00h 02m 04s,189221,157,0,14,13111,843,,245760,3678208,24576
00h 02m 04s,189772,158,0,14,13119,551,00157,245760,3678208,24576
00h 02m 04s,190402,158,0,15,13119,630,00155,245760,3678208,24576
