Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 02s,,,,,,,,245760,3678208,24576
00h 00m 04s,960,24,2,0,11048,960,,245760,3678208,24576
00h 00m 04s,1102,37,3,0,11451,142,,245760,3678208,24576
00h 00m 05s,1235,47,7,0,12820,133,,245760,3678208,24576
00h 00m 05s,1360,54,11,0,12968,125,,245760,3678208,24576
00h 00m 07s,1490,64,15,0,13148,130,,245760,3678208,24576
00h 00m 14s,1600,67,18,0,13312,110,,245760,3678208,24576
00h 00m 14s,1733,71,18,0,13400,133,00070,245760,3678208,24576
00h 00m 14s,1812,71,20,0,13400,79,00061,245760,3678208,24576
00h 00m 14s,5297,72,20,0,13405,3485,00071,245760,3678208,24576
00h 00m 14s,8598,74,20,0,13423,3301,00074,245760,3678208,24576
00h 00m 14s,11370,76,20,0,13439,2772,00076,245760,3678208,24576
00h 00m 14s,14299,77,20,0,13448,2928,,245760,3678208,24576
00h 00m 26s,16474,82,20,0,13457,2175,00082,245760,3678208,24576
00h 00m 26s,17631,83,20,0,13457,1157,00083,245760,3678208,24576
00h 00m 26s,19287,87,20,0,13483,1656,00090,245760,3678208,24576
00h 00m 26s,21334,92,20,0,13662,2047,00091,245760,3678208,24576
00h 00m 26s,25882,94,20,0,13667,4548,,245760,3678208,24576
00h 00m 26s,29278,98,20,0,13691,3396,00099,245760,3678208,24576
00h 00m 26s,31977,101,20,0,13992,2699,00102,245760,3678208,24576
00h 00m 26s,35674,105,20,0,13995,3697,00105,245760,3678208,24576
00h 00m 26s,38236,107,20,0,14002,2562,,245760,3678208,24576
00h 00m 26s,39472,111,20,0,14010,1236,,245760,3678208,24576
00h 00m 26s,41004,111,22,0,14030,1532,,245760,3678208,24576
00h 00m 26s,43382,112,23,0,14032,2378,,245760,3678208,24576
00h 00m 26s,46168,112,23,0,14090,2786,,245760,3678208,24576
00h 00m 58s,49165,114,23,0,14092,2997,,245760,3678208,24576
00h 00m 58s,51787,114,23,0,14093,2622,,245760,3678208,24576
00h 00m 58s,54450,115,23,0,14093,2663,00115,245760,3678208,24576
00h 00m 58s,56739,116,23,0,14094,2289,,245760,3678208,24576
00h 00m 58s,59192,117,23,0,14094,2453,00117,245760,3678208,24576
00h 00m 58s,61070,119,23,0,14098,1878,00118,245760,3678208,24576
00h 00m 58s,63615,120,23,0,14100,2545,00119,245760,3678208,24576
00h 00m 58s,65186,121,23,0,14100,1571,,245760,3678208,24576
00h 00m 58s,66682,121,25,0,14101,1496,,245760,3678208,24576
00h 00m 58s,67421,121,27,0,14134,739,,245760,3678208,24576
00h 00m 58s,68280,121,28,0,14134,859,,,,
00h 00m 58s,69164,121,28,0,14143,884,,,,
00h 00m 58s,70047,121,28,0,14143,883,,,,
00h 00m 58s,70934,122,28,0,14143,887,,245760,3678208,24576
00h 00m 58s,71826,122,28,0,14143,892,,245760,3678208,24576
00h 00m 58s,72661,122,29,0,14143,835,,245760,3678208,24576
00h 00m 58s,73540,122,29,0,14143,879,,245760,3678208,24576
00h 00m 58s,74351,123,29,0,14143,811,,245760,3678208,24576
00h 00m 58s,75029,124,29,0,14150,678,,245760,3678208,24576
00h 00m 58s,75663,124,29,0,14150,634,00123,245760,3678208,24576
00h 00m 58s,76738,124,29,0,14150,1075,,245760,3678208,24576
00h 00m 58s,77594,124,29,0,14150,856,,245760,3678208,24576
00h 00m 58s,78318,124,29,0,14150,724,,245760,3678208,24576
00h 00m 58s,78876,126,29,0,14151,558,00126,245760,3678208,24576
00h 00m 58s,79799,127,29,0,14155,923,,,,
00h 00m 58s,80970,127,29,0,14155,1171,00125,,,
00h 00m 58s,81848,127,29,0,14155,878,,,,
00h 00m 58s,82495,127,29,0,14155,647,,,,
00h 00m 58s,83130,127,29,0,14155,635,,,,
00h 00m 58s,83774,128,29,0,14155,644,,245760,3678208,24576
00h 00m 58s,84293,128,29,0,14163,519,00129,245760,3678208,24576
