Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 06s,,,,,,,00000,245760,3678208,24576
00h 00m 06s,3280,2,0,0,10061,3280,00003,245760,3678208,24576
00h 00m 06s,9084,4,0,0,10065,5804,00006,245760,3678208,24576
00h 00m 06s,16462,7,0,0,10069,7378,00007,245760,3678208,24576
00h 00m 06s,21459,15,0,0,10082,4997,,245760,3678208,24576
00h 00m 06s,25105,19,0,0,10168,3646,,245760,3678208,24576
00h 00m 13s,30216,24,0,0,10178,5111,00026,245760,3678208,24576
00h 00m 13s,37922,30,0,0,10189,7706,00033,245760,3678208,24576
00h 00m 13s,44177,34,0,0,10198,6255,,245760,3678208,24576
00h 00m 13s,47565,36,0,0,10232,3388,00039,245760,3678208,24576
00h 00m 13s,55006,40,0,0,10334,7441,00040,245760,3678208,24576
00h 00m 13s,62483,44,0,0,10430,7477,00046,245760,3678208,24576
00h 00m 13s,70808,48,0,0,10442,8325,00048,245760,3678208,24576
00h 00m 58s,77750,51,0,0,10531,6942,00050,245760,3678208,24576
00h 00m 58s,84615,52,0,0,10541,6865,,245760,3678208,24576
00h 00m 58s,89831,54,0,0,10544,5216,,245760,3678208,24576
00h 00m 58s,92213,56,0,0,10546,2382,,245760,3678208,24576
00h 00m 58s,94571,56,0,0,10553,2358,,245760,3678208,24576
00h 00m 58s,96803,56,0,0,11276,2232,,,,
00h 00m 58s,99030,56,0,0,11276,2227,,,,
00h 00m 58s,101291,56,0,0,11276,2261,,,,
00h 00m 58s,103380,56,0,0,11276,2089,,245760,3678208,24576
00h 00m 58s,105356,56,0,0,11276,1976,,,,
00h 00m 58s,107794,56,0,0,11276,2438,,,,
00h 00m 58s,109764,57,0,0,11276,1970,,245760,3678208,24576
00h 00m 58s,109928,57,0,0,11276,164,,245760,3678208,24576
00h 00m 58s,110278,57,0,0,11276,350,,245760,3678208,24576
00h 00m 58s,110587,57,0,0,11276,309,00056,245760,3678208,24576
00h 00m 58s,111390,57,0,0,11276,803,00058,245760,3678208,24576
00h 00m 58s,111946,60,0,0,11279,556,,245760,3678208,24576
00h 00m 58s,113015,60,0,0,11279,1069,00057,245760,3678208,24576
00h 00m 58s,114694,60,0,0,11279,1679,00055,245760,3678208,24576
00h 00m 58s,115361,60,0,0,11279,667,,,,
00h 00m 58s,115499,60,0,0,11279,138,,,,
00h 00m 58s,115631,60,0,0,11279,132,,,,
00h 00m 58s,115765,60,0,0,11279,134,,,,
00h 00m 58s,115897,60,0,0,11279,132,,,,
00h 00m 58s,116038,60,0,0,11279,141,,,,
00h 00m 58s,116175,60,0,0,11279,137,,245760,3678208,24576
00h 00m 58s,116312,60,0,0,11279,137,,245760,3678208,24576
00h 00m 58s,116461,61,0,0,11340,149,,245760,3678208,24576
00h 00m 58s,116610,62,0,0,11342,149,,245760,3678208,24576
00h 00m 58s,116751,62,0,0,11342,141,,245760,3678208,24576
00h 00m 58s,116895,62,0,0,11342,144,,245760,3678208,24576
00h 00m 58s,117029,62,0,0,11344,134,,,,
00h 00m 58s,117188,63,0,0,11344,159,,245760,3678208,24576
00h 00m 58s,117333,63,0,0,11344,145,,,,
00h 00m 58s,117483,63,0,0,11344,150,,245760,3678208,24576
00h 00m 58s,117630,64,0,0,11350,147,,245760,3678208,24576
00h 00m 58s,117783,65,0,0,11350,153,,,,
00h 00m 58s,117930,66,0,0,11352,147,,,,
00h 00m 58s,118077,66,0,0,11352,147,,245760,3678208,24576
00h 00m 58s,118216,66,0,0,11352,139,,245760,3678208,24576
00h 00m 58s,118364,67,0,0,11356,148,,245760,3678208,24576
00h 00m 58s,118523,68,0,0,11381,159,,245760,3678208,24576
00h 00m 58s,118678,69,0,0,11383,155,,,,
00h 00m 58s,118831,69,0,0,11383,153,,245760,3678208,24576
00h 00m 58s,118986,69,0,0,11383,155,,245760,3678208,24576
00h 02m 15s,119154,69,0,0,11383,168,,245760,3678208,24576
00h 02m 15s,119316,69,0,0,11383,162,,245760,3678208,24576
00h 02m 15s,119492,69,0,0,11383,176,,245760,3678208,24576
00h 02m 15s,119657,70,0,0,11384,165,,245760,3678208,24576
00h 02m 15s,119821,71,0,0,11387,164,,245760,3678208,24576
00h 02m 15s,119996,72,0,0,11397,175,,245760,3678208,24576
00h 02m 15s,120187,72,0,0,11397,191,,245760,3678208,24576
00h 02m 15s,120352,72,0,0,11397,165,,245760,3678208,24576
00h 02m 15s,120520,73,0,0,11399,168,00072,245760,3678208,24576
