Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 03s,,,,,,,00001,245760,3678208,24576
00h 00m 03s,2338,7,0,0,11316,2338,00000,245760,3678208,24576
00h 00m 03s,9221,11,0,0,11321,6883,00012,245760,3678208,24576
00h 00m 07s,14461,18,0,0,11331,5240,,245760,3678208,24576
00h 00m 07s,24943,22,0,0,11336,10482,,245760,3678208,24576
00h 00m 07s,34848,30,0,0,11461,9905,00036,245760,3678208,24576
00h 00m 13s,39994,37,0,0,11494,5146,,245760,3678208,24576
00h 00m 13s,42297,41,0,0,11581,2303,,245760,3678208,24576
00h 00m 13s,45256,47,0,0,11928,2959,00047,245760,3678208,24576
00h 00m 13s,49798,50,0,0,11938,4542,00049,245760,3678208,24576
00h 00m 13s,53062,50,0,0,11938,3264,00048,245760,3678208,24576
00h 00m 13s,57052,52,0,0,11950,3990,,245760,3678208,24576
00h 00m 13s,61826,55,0,0,12087,4774,,245760,3678208,24576
00h 00m 22s,66221,58,0,0,12088,4395,00057,245760,3678208,24576
00h 00m 22s,69527,63,0,0,12147,3306,00066,245760,3678208,24576
00h 00m 22s,72556,67,0,0,12220,3029,,245760,3678208,24576
00h 00m 22s,75680,69,0,0,12261,3124,00069,245760,3678208,24576
00h 00m 22s,79037,71,0,0,12264,3357,,245760,3678208,24576
00h 00m 22s,82303,74,0,0,12306,3266,00074,245760,3678208,24576
00h 00m 22s,86430,76,0,0,12327,4127,00076,245760,3678208,24576
00h 00m 22s,90861,78,0,0,12339,4431,,245760,3678208,24576
00h 00m 34s,95336,79,0,0,12339,4475,00079,245760,3678208,24576
00h 00m 34s,99593,80,0,0,12340,4257,00081,245760,3678208,24576
00h 00m 34s,103643,84,0,0,12349,4050,,245760,3678208,24576
00h 00m 34s,108124,86,0,0,12360,4481,00085,245760,3678208,24576
00h 00m 34s,113595,87,0,0,12365,5471,00084,245760,3678208,24576
00h 00m 34s,118988,87,0,0,12365,5393,00083,245760,3678208,24576
00h 00m 34s,123877,87,0,0,12365,4889,00080,245760,3678208,24576
00h 00m 34s,129191,87,0,0,12379,5314,,245760,3678208,24576
00h 00m 34s,133881,94,0,0,12415,4690,00096,245760,3678208,24576
00h 00m 34s,137853,99,0,0,12467,3972,,245760,3678208,24576
00h 00m 34s,140191,102,0,0,12585,2338,00100,245760,3678208,24576
00h 00m 34s,142750,104,0,0,12600,2559,,245760,3678208,24576
00h 00m 45s,145553,106,0,0,12603,2803,,245760,3678208,24576
00h 00m 45s,147756,111,0,0,12636,2203,00113,245760,3678208,24576
00h 00m 45s,149995,114,0,0,12655,2239,,245760,3678208,24576
00h 00m 45s,152901,120,0,1,12718,2906,00122,245760,3678208,24576
00h 00m 45s,155996,123,0,1,12730,3095,00126,245760,3678208,24576
00h 00m 45s,158311,127,0,1,12736,2315,00128,245760,3678208,24576
00h 00m 45s,159666,129,0,1,12750,1355,00127,245760,3678208,24576
00h 00m 45s,161104,129,0,1,12751,1438,,245760,3678208,24576
00h 00m 45s,161964,131,0,1,12753,860,00131,245760,3678208,24576
00h 00m 45s,162908,132,0,2,12854,944,00132,245760,3678208,24576
00h 00m 45s,164314,134,0,2,12860,1406,,245760,3678208,24576
00h 01m 26s,165037,134,0,2,12942,723,,245760,3678208,24576
00h 01m 26s,165919,136,0,2,12964,882,00135,245760,3678208,24576
00h 01m 26s,166410,137,0,2,12965,491,,245760,3678208,24576
00h 01m 26s,166888,137,0,2,12965,478,,245760,3678208,24576
00h 01m 26s,167358,137,0,2,12965,470,00136,245760,3678208,24576
00h 01m 26s,168011,138,0,3,12967,653,,245760,3678208,24576
00h 01m 26s,168489,138,0,3,12975,478,,245760,3678208,24576
00h 01m 26s,169024,138,0,4,12975,535,,245760,3678208,24576
00h 01m 26s,169531,139,0,4,12975,507,,245760,3678208,24576
00h 01m 26s,170012,139,0,4,12975,481,,245760,3678208,24576
00h 01m 26s,170484,140,0,4,12976,472,,,,
00h 01m 26s,170974,140,0,4,12976,490,,245760,3678208,24576
00h 01m 26s,171522,141,0,5,12991,548,,,,
00h 01m 26s,172029,141,0,5,12991,507,,245760,3678208,24576
00h 01m 26s,172535,141,0,5,12991,506,,245760,3678208,24576
00h 01m 26s,173033,141,0,5,12991,498,,245760,3678208,24576
00h 01m 26s,173522,141,0,5,12991,489,00140,245760,3678208,24576
00h 01m 26s,173991,141,0,5,12993,469,,245760,3678208,24576
00h 01m 26s,174527,141,0,6,12993,536,,245760,3678208,24576
00h 01m 26s,175010,142,0,6,12993,483,,,,
00h 01m 26s,175499,142,0,6,12998,489,,245760,3678208,24576
00h 01m 26s,175998,143,0,6,13000,499,,,,
00h 01m 26s,176501,143,0,6,13000,503,,,,
00h 01m 26s,176997,143,0,6,13000,496,,245760,3678208,24576
00h 01m 26s,177426,143,0,7,13000,429,,,,
00h 01m 26s,177878,143,0,7,13000,452,,245760,3678208,24576
00h 01m 26s,178349,143,0,7,13000,471,,,,
00h 01m 26s,178820,143,0,7,13000,471,,,,
00h 01m 26s,179313,143,0,7,13000,493,,245760,3678208,24576
00h 01m 26s,179886,143,0,8,13000,573,,245760,3678208,24576
00h 01m 26s,180344,143,0,8,13000,458,,245760,3678208,24576
00h 01m 26s,180840,143,0,8,13000,496,,245760,3678208,24576
00h 01m 26s,181334,143,0,8,13000,494,,245760,3678208,24576
00h 01m 26s,181834,143,0,8,13000,500,,245760,3678208,24576
00h 01m 26s,182347,144,0,9,13010,513,00143,245760,3678208,24576
00h 01m 26s,182922,144,0,9,13010,575,,,,
00h 01m 26s,183466,144,0,9,13010,544,,245760,3678208,24576
00h 01m 26s,183975,144,0,9,13010,509,,245760,3678208,24576
00h 01m 26s,184486,144,0,9,13011,511,,245760,3678208,24576
00h 01m 26s,185018,145,0,9,13011,532,,245760,3678208,24576
00h 01m 26s,185867,147,0,9,13028,849,,245760,3678208,24576
00h 01m 49s,186164,148,0,9,13028,297,,245760,3678208,24576
00h 01m 49s,186461,148,0,9,13028,297,,245760,3678208,24576
00h 01m 49s,186860,149,0,9,13029,399,00148,245760,3678208,24576
00h 01m 49s,187649,150,0,9,13031,789,00149,245760,3678208,24576
00h 01m 49s,188418,150,0,9,13031,769,,245760,3678208,24576
00h 01m 49s,188609,150,0,9,13522,191,,245760,3678208,24576
00h 01m 49s,188787,150,0,9,13522,178,,245760,3678208,24576
00h 01m 49s,188987,150,0,9,13522,200,,245760,3678208,24576
00h 01m 49s,189172,150,0,9,13522,185,,245760,3678208,24576
00h 01m 49s,189339,150,0,9,13522,167,00150,245760,3678208,24576
00h 01m 49s,189504,151,0,9,13529,165,,245760,3678208,24576
00h 01m 49s,189696,151,0,9,13529,192,,245760,3678208,24576
00h 01m 49s,189856,151,0,9,13529,160,,245760,3678208,24576
00h 01m 49s,190025,151,0,9,13529,169,00151,245760,3678208,24576
00h 01m 49s,190190,152,0,9,13537,165,,245760,3678208,24576
00h 01m 49s,190362,152,0,9,13537,172,,245760,3678208,24576
00h 01m 49s,190514,152,0,9,13537,152,,245760,3678208,24576
00h 01m 49s,190732,152,0,9,13537,218,,245760,3678208,24576
00h 01m 49s,190895,152,0,9,13537,163,,245760,3678208,24576
00h 01m 49s,191134,153,0,9,13562,239,,245760,3678208,24576
