Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 14s,,,,,,,,245760,3678208,24576
00h 00m 14s,14,3,0,0,4810,14,,245760,3678208,24576
00h 00m 14s,27,6,0,0,8893,13,,245760,3678208,24576
00h 00m 14s,50,12,0,0,9538,23,,245760,3678208,24576
00h 00m 14s,64,15,0,0,9917,14,,245760,3678208,24576
00h 00m 14s,83,19,0,0,10297,19,,245760,3678208,24576
00h 00m 14s,100,23,0,0,10618,17,,245760,3678208,24576
00h 00m 14s,123,29,0,0,10894,23,,245760,3678208,24576
00h 00m 14s,136,32,0,0,11694,13,,245760,3678208,24576
00h 00m 14s,156,37,0,0,13595,20,,245760,3678208,24576
00h 00m 14s,168,40,0,0,14180,12,,245760,3678208,24576
00h 00m 14s,174,41,0,0,14224,6,,245760,3678208,24576
00h 00m 14s,188,45,0,0,16961,14,,245760,3678208,24576
00h 00m 14s,202,48,0,0,17432,14,,245760,3678208,24576
00h 00m 29s,206,49,0,0,17563,4,,245760,3678208,24576
00h 00m 29s,223,53,0,0,17972,17,,,,
00h 00m 29s,226,54,0,0,17988,3,,,,
00h 00m 29s,226,54,0,0,17988,0,,,,
00h 00m 29s,226,54,0,0,17988,0,,,,
00h 00m 29s,226,54,0,0,17988,0,,245760,3678208,24576
00h 00m 29s,240,57,0,1,18432,14,,245760,3678208,24576
00h 00m 29s,257,61,0,1,18688,17,,245760,3678208,24576
00h 00m 29s,279,66,0,1,19602,22,,245760,3678208,24576
00h 00m 29s,298,70,0,1,19978,19,,245760,3678208,24576
00h 00m 29s,316,74,0,1,20393,18,,245760,3678208,24576
00h 00m 29s,332,78,0,1,21507,16,,245760,3678208,24576
00h 00m 29s,349,82,0,1,21873,17,,245760,3678208,24576
00h 00m 29s,367,85,0,1,21910,18,,245760,3678208,24576
00h 00m 29s,374,87,0,1,22834,7,,245760,3678208,24576
00h 00m 38s,396,92,0,1,22915,22,,245760,3678208,24576
00h 00m 38s,415,96,0,1,23300,19,,245760,3678208,24576
00h 00m 38s,440,100,0,1,23382,25,,245760,3678208,24576
00h 00m 38s,459,104,0,1,23394,19,,245760,3678208,24576
00h 00m 38s,478,108,0,1,23612,19,,245760,3678208,24576
00h 00m 38s,502,113,0,1,23676,24,,245760,3678208,24576
00h 00m 38s,520,116,0,1,23730,18,,245760,3678208,24576
00h 00m 38s,541,121,0,1,24187,21,,245760,3678208,24576
00h 00m 38s,564,125,0,1,24239,23,,245760,3678208,24576
00h 00m 47s,581,129,0,1,24283,17,,245760,3678208,24576
00h 00m 47s,601,134,0,1,24479,20,,245760,3678208,24576
00h 00m 47s,622,138,0,1,24870,21,,245760,3678208,24576
00h 00m 47s,644,142,0,1,24929,22,,245760,3678208,24576
00h 00m 47s,666,147,0,1,24956,22,,245760,3678208,24576
00h 00m 47s,683,151,0,1,25083,17,,245760,3678208,24576
00h 00m 47s,703,156,0,1,25239,20,,245760,3678208,24576
00h 00m 47s,730,160,0,1,25453,27,,245760,3678208,24576
00h 00m 47s,747,164,0,1,25479,17,,245760,3678208,24576
00h 00m 56s,768,167,0,1,25632,21,,245760,3678208,24576
00h 00m 56s,793,172,0,1,25711,25,,245760,3678208,24576
00h 00m 56s,817,177,0,1,25755,24,,245760,3678208,24576
00h 00m 56s,836,180,0,1,25876,19,,245760,3678208,24576
