Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 00m 03s,,,,,,,,245760,3678208,24576
00h 00m 03s,82,16,0,0,10083,82,,245760,3678208,24576
00h 00m 07s,157,31,0,0,11228,75,,245760,3678208,24576
00h 00m 07s,226,45,0,0,16852,69,,245760,3678208,24576
00h 00m 07s,275,56,0,0,18440,49,,245760,3678208,24576
00h 00m 07s,329,66,0,0,19567,54,,245760,3678208,24576
00h 00m 10s,382,78,0,0,21392,53,,245760,3678208,24576
00h 00m 10s,440,89,0,0,21971,58,,245760,3678208,24576
00h 00m 10s,510,100,0,1,23123,70,,245760,3678208,24576
00h 00m 13s,576,111,0,1,23646,66,,245760,3678208,24576
00h 00m 13s,653,122,0,1,24202,77,,245760,3678208,24576
00h 00m 13s,741,138,0,1,24868,88,,245760,3678208,24576
00h 00m 15s,818,150,0,1,25079,77,,245760,3678208,24576
00h 00m 15s,900,163,0,1,25471,82,,245760,3678208,24576
00h 00m 15s,980,173,0,1,25713,80,,245760,3678208,24576
00h 00m 18s,1058,184,0,1,25890,78,,245760,3678208,24576
00h 00m 18s,1147,196,0,1,26024,89,,245760,3678208,24576
00h 00m 20s,1227,211,0,1,26296,80,,245760,3678208,24576
00h 00m 20s,1309,220,0,1,26491,82,,245760,3678208,24576
00h 00m 24s,1382,227,0,1,26830,73,,245760,3678208,24576
00h 00m 24s,1464,237,0,1,27180,82,,245760,3678208,24576
00h 00m 24s,1535,247,0,1,27288,71,,245760,3678208,24576
00h 00m 24s,1584,254,0,1,27461,49,,245760,3678208,24576
00h 00m 26s,1644,262,0,1,27595,60,,245760,3678208,24576
00h 00m 26s,1723,273,0,2,28353,79,,245760,3678208,24576
00h 00m 29s,1786,285,0,2,28723,63,,245760,3678208,24576
00h 00m 29s,1859,295,0,2,28863,73,,245760,3678208,24576
00h 00m 29s,1933,309,0,2,29126,74,,245760,3678208,24576
00h 00m 32s,2011,321,0,2,29374,78,,245760,3678208,24576
00h 00m 32s,2088,332,0,2,29524,77,,245760,3678208,24576
00h 00m 32s,2170,342,0,2,29583,82,,245760,3678208,24576
00h 00m 35s,2226,346,0,2,29596,56,,245760,3678208,24576
00h 00m 35s,2285,352,0,2,29784,59,,245760,3678208,24576
00h 00m 35s,2344,357,0,2,30012,59,,245760,3678208,24576
00h 00m 38s,2412,367,0,2,30093,68,,245760,3678208,24576
00h 00m 38s,2476,372,0,2,30139,64,,245760,3678208,24576
00h 00m 38s,2532,377,0,2,30165,56,,245760,3678208,24576
00h 00m 41s,2599,386,0,2,30202,67,,245760,3678208,24576
00h 00m 41s,2661,393,0,3,30272,62,,245760,3678208,24576
00h 00m 41s,2736,404,0,3,30392,75,,245760,3678208,24576
00h 00m 44s,2803,413,0,3,30442,67,,245760,3678208,24576
00h 00m 44s,2861,417,0,3,30466,58,,245760,3678208,24576
00h 00m 44s,2924,425,0,3,30586,63,,245760,3678208,24576
00h 00m 46s,2998,432,0,3,30742,74,,245760,3678208,24576
00h 00m 46s,3068,440,0,4,31073,70,,245760,3678208,24576
00h 00m 49s,3143,451,0,4,31243,75,,245760,3678208,24576
00h 00m 49s,3245,464,0,4,31340,102,,245760,3678208,24576
00h 00m 49s,3335,471,0,4,31423,90,,245760,3678208,24576
00h 00m 52s,3418,481,0,4,31708,83,,245760,3678208,24576
00h 00m 52s,3478,487,0,4,31734,60,,245760,3678208,24576
00h 00m 52s,3543,494,0,4,31808,65,,245760,3678208,24576
00h 00m 54s,3609,500,0,4,31824,66,,245760,3678208,24576
00h 00m 54s,3685,504,0,6,31853,76,,245760,3678208,24576
00h 00m 56s,3759,512,0,6,31882,74,,245760,3678208,24576
00h 00m 56s,3841,519,0,6,31917,82,,245760,3678208,24576
00h 00m 58s,3922,527,0,6,31952,81,,245760,3678208,24576
00h 00m 58s,4012,536,0,7,31993,90,,245760,3678208,24576
00h 01m 00s,4103,546,0,7,32071,91,,245760,3678208,24576
00h 01m 00s,4189,552,0,7,32110,86,,245760,3678208,24576
00h 01m 04s,4283,564,0,7,32223,94,,245760,3678208,24576
00h 01m 04s,4370,571,0,7,32263,87,,245760,3678208,24576
00h 01m 04s,4445,581,0,7,32287,75,,245760,3678208,24576
00h 01m 04s,4495,587,0,7,32420,50,,245760,3678208,24576
00h 01m 07s,4544,592,0,7,32450,49,,245760,3678208,24576
00h 01m 07s,4595,598,0,7,32611,51,,245760,3678208,24576
00h 01m 07s,4652,603,0,8,32668,57,,245760,3678208,24576
00h 01m 11s,4703,609,0,8,32685,51,,245760,3678208,24576
00h 01m 11s,4759,613,0,8,32730,56,,245760,3678208,24576
00h 01m 11s,4800,615,0,8,32757,41,,245760,3678208,24576
00h 01m 11s,4842,619,0,8,32769,42,,245760,3678208,24576
00h 01m 13s,4903,625,0,10,32866,61,,245760,3678208,24576
00h 01m 13s,4993,637,0,10,32908,90,,245760,3678208,24576
00h 01m 15s,5080,648,0,10,33076,87,,245760,3678208,24576
00h 01m 15s,5174,659,0,10,33141,94,,245760,3678208,24576
00h 01m 17s,5274,665,0,10,33175,100,,245760,3678208,24576
00h 01m 17s,5365,673,0,10,33212,91,,245760,3678208,24576
00h 01m 19s,5452,679,0,10,33238,87,,245760,3678208,24576
00h 01m 19s,5531,687,0,10,33258,79,,245760,3678208,24576
00h 01m 21s,5610,697,0,10,33324,79,,245760,3678208,24576
00h 01m 21s,5697,706,0,10,33384,87,,245760,3678208,24576
00h 01m 24s,5794,714,0,10,33421,97,,245760,3678208,24576
00h 01m 24s,5867,721,0,10,33509,73,,245760,3678208,24576
00h 01m 26s,5953,727,0,10,33539,86,,245760,3678208,24576
00h 01m 26s,6041,733,0,10,33587,88,,245760,3678208,24576
00h 01m 26s,6134,743,0,10,33704,93,,245760,3678208,24576
00h 01m 28s,6223,749,0,10,33733,89,,245760,3678208,24576
00h 01m 28s,6293,753,0,10,33743,70,,245760,3678208,24576
00h 01m 30s,6370,757,0,10,33761,77,,245760,3678208,24576
00h 01m 30s,6466,764,0,10,33816,96,,245760,3678208,24576
00h 01m 33s,6549,769,0,10,33825,83,,245760,3678208,24576
00h 01m 33s,6642,778,0,11,33853,93,,245760,3678208,24576
00h 01m 35s,6700,782,0,11,33882,58,,245760,3678208,24576
00h 01m 35s,6758,785,0,12,33957,58,,245760,3678208,24576
00h 01m 35s,6835,791,0,12,33972,77,,245760,3678208,24576
00h 01m 37s,6900,795,0,12,34026,65,,245760,3678208,24576
00h 01m 37s,6973,797,0,13,34032,73,,245760,3678208,24576
00h 01m 39s,7070,808,0,13,34086,97,,245760,3678208,24576
00h 01m 39s,7152,811,0,14,34095,82,,245760,3678208,24576
00h 01m 41s,7239,818,0,14,34117,87,,245760,3678208,24576
00h 01m 42s,7349,826,0,14,34163,110,,245760,3678208,24576
00h 01m 42s,7447,833,0,14,34255,98,,245760,3678208,24576
00h 01m 44s,7547,843,0,14,34281,100,,245760,3678208,24576
