Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes,Stats Coverage,Samples,Discarded,Exec/s,Avg Exec/s,Total Execs
0h 0m 0s,,,,,,0,8,0,0,0,0
0h 0m 1s,,,,,,11630,8,0,1728,346,1728
0h 0m 2s,,,,,,11733,8,0,1141,505,2869
0h 0m 3s,,,,,,11801,8,0,1677,739,4546
0h 0m 4s,,,,,,11884,8,0,2789,1149,7335
0h 0m 5s,,,,,,11901,8,0,2480,1415,9815
0h 0m 6s,,,,,,11985,8,0,1909,1514,11724
0h 0m 7s,,,,,,12022,8,0,2623,1736,14347
0h 0m 8s,,,,,,12027,8,0,1440,1677,15787
0h 0m 9s,,,,,,12032,8,0,1128,1567,16915
0h 0m 10s,,,,,,12405,8,0,2306,1715,19221
0h 0m 11s,,,,,,12416,8,0,1743,1721,20964
0h 0m 12s,,,,,,12530,8,0,1899,1757,22863
0h 0m 13s,,,,,,12530,8,0,1740,1754,24603
0h 0m 14s,,,,,,12536,8,0,1996,1802,26599
0h 0m 15s,,,,,,12546,8,0,2101,1862,28700
0h 0m 16s,,,,,,12549,8,0,2281,1946,30981
0h 0m 17s,,,,,,12560,8,0,2045,1966,33026
0h 0m 18s,,,,,,12572,8,0,1495,1872,34521
0h 0m 19s,,,,,,12630,8,0,2423,1982,36944
0h 0m 20s,,,,,,12630,8,0,2265,2039,39209
0h 0m 21s,,,,,,12635,8,0,1646,1960,40855
0h 0m 22s,,,,,,12635,8,0,1465,1861,42320
0h 0m 23s,,,,,,12635,8,0,1558,1800,43878
0h 0m 24s,,,,,,12676,8,0,1702,1780,45580
0h 0m 25s,,,,,,12696,8,0,1493,1723,47073
0h 0m 26s,,,,,,12696,8,0,2085,1795,49158
0h 0m 27s,,,,,,12713,9,0,2335,1903,51493
0h 0m 28s,,,,,,12733,9,0,2456,2014,53949
0h 0m 29s,,,,,,12733,10,0,1886,1988,55835
0h 0m 30s,,,,,,12734,11,0,1852,1961,57687
0h 0m 31s,,,,,,12736,11,0,1789,1927,59476
0h 0m 32s,,,,,,12736,11,0,1810,1904,61286
0h 0m 33s,,,,,,12739,13,0,2023,1928,63309
0h 0m 34s,,,,,,12739,13,0,1821,1907,65130
0h 0m 35s,,,,,,12743,14,0,2315,1989,67445
0h 0m 36s,,,,,,12773,15,0,1664,1924,69109
0h 0m 37s,,,,,,12773,15,0,2222,1984,71331
0h 0m 38s,,,,,,12774,15,0,2620,2111,73951
0h 0m 39s,,,,,,12776,15,0,2269,2143,76220
0h 0m 40s,,,,,,12779,16,0,2232,2161,78452
0h 0m 41s,,,,,,12779,17,0,2408,2210,80860
0h 0m 42s,,,,,,12779,17,0,1883,2145,82743
0h 0m 43s,,,,,,12784,17,0,1660,2048,84403
0h 0m 44s,,,,,,12784,18,0,2564,2151,86967
0h 0m 45s,,,,,,12878,18,0,2306,2182,89273
0h 0m 46s,,,,,,12893,18,0,1498,2045,90771
0h 0m 47s,,,,,,12924,18,0,2308,2098,93079
0h 0m 48s,,,,,,12927,18,0,2065,2091,95144
0h 0m 49s,,,,,,12929,18,0,2479,2169,97623
0h 0m 50s,,,,,,12942,19,0,2383,2212,100006
0h 0m 51s,,,,,,12942,19,0,2113,2192,102119
0h 0m 52s,,,,,,12942,19,0,2388,2231,104507
0h 0m 53s,,,,,,12942,19,0,1939,2173,106446
0h 0m 54s,,,,,,12944,19,0,2201,2179,108647
0h 0m 55s,,,,,,12944,19,0,1184,1980,109831
0h 0m 56s,,,,,,12944,19,0,1926,1969,111757
0h 0m 57s,,,,,,12944,19,0,1920,1959,113677
0h 0m 58s,,,,,,12960,19,0,2164,2000,115841
0h 0m 59s,,,,,,12960,20,0,2025,2005,117866
0h 1m 0s,,,,,,12960,20,0,2806,2165,120672
0h 1m 1s,,,,,,12963,20,0,2377,2207,123049
0h 1m 2s,,,,,,12963,20,0,2144,2194,125193
0h 1m 3s,,,,,,12964,22,0,1952,2146,127145
0h 1m 4s,,,,,,12964,23,0,2564,2230,129709
0h 1m 5s,,,,,,12964,24,0,2586,2301,132295
0h 1m 6s,,,,,,12964,24,0,1750,2191,134045
0h 1m 7s,,,,,,12964,24,0,1932,2139,135977
0h 1m 8s,,,,,,12964,24,0,1795,2070,137772
0h 1m 9s,,,,,,12972,24,0,2255,2107,140027
0h 1m 10s,,,,,,13029,24,0,2500,2186,142527
0h 1m 11s,,,,,,13029,24,0,2272,2203,144799
0h 1m 12s,,,,,,13034,24,0,1737,2110,146536
0h 1m 13s,,,,,,13034,24,0,2205,2129,148741
0h 1m 14s,,,,,,13034,24,0,2075,2118,150816
0h 1m 15s,,,,,,13058,25,0,1975,2089,152791
0h 1m 16s,,,,,,13059,25,0,1671,2005,154462
0h 1m 17s,,,,,,13080,26,0,2062,2016,156524
0h 1m 18s,,,,,,13080,26,0,2291,2071,158815
0h 1m 19s,,,,,,13080,27,0,2304,2118,161119
0h 1m 20s,,,,,,13081,28,0,2559,2206,163678
0h 1m 21s,,,,,,13081,28,0,2472,2259,166150
0h 1m 22s,,,,,,13081,29,0,2248,2257,168398
0h 1m 23s,,,,,,13081,29,0,1740,2154,170138
0h 1m 24s,,,,,,13098,29,0,1390,2001,171528
0h 1m 25s,,,,,,13099,29,0,2434,2088,173962
0h 1m 26s,,,,,,13099,30,0,1817,2034,175779
0h 1m 27s,,,,,,13102,30,0,1791,1985,177570
0h 1m 28s,,,,,,13119,30,0,2347,2057,179917
0h 1m 29s,,,,,,13119,30,0,1927,2031,181844
0h 1m 30s,,,,,,13120,30,0,1543,1933,183387
0h 1m 31s,,,,,,13120,30,0,1450,1836,184837
0h 1m 32s,,,,,,13120,30,0,1554,1780,186391
0h 1m 33s,,,,,,13120,30,0,1387,1701,187778
0h 1m 34s,,,,,,13121,30,0,2270,1815,190048
0h 1m 35s,,,,,,13121,31,0,2177,1887,192225
0h 1m 36s,,,,,,13140,31,0,2536,2017,194761
0h 1m 37s,,,,,,13140,31,0,2543,2122,197304
0h 1m 38s,,,,,,13140,32,0,1877,2073,199181
0h 1m 39s,,,,,,13140,32,0,2556,2170,201737
0h 1m 40s,,,,,,13140,32,0,2284,2193,204021
0h 1m 41s,,,,,,13140,32,0,1843,2123,205864
0h 1m 42s,,,,,,13156,32,0,2516,2202,208380
0h 1m 43s,,,,,,13156,32,0,2084,2178,210464
0h 1m 44s,,,,,,13156,32,0,1441,2031,211905
0h 1m 45s,,,,,,13156,32,0,1861,1997,213766
0h 1m 46s,,,,,,13156,33,0,1985,1995,215751
0h 1m 47s,,,,,,13156,33,0,1985,1993,217736
0h 1m 48s,,,,,,13157,33,0,2465,2087,220201
0h 1m 49s,,,,,,13157,33,0,2385,2147,222586
0h 1m 50s,,,,,,13157,33,0,2168,2151,224754
0h 1m 51s,,,,,,13159,34,0,2153,2151,226907
0h 1m 52s,,,,,,13159,34,0,1726,2066,228633
0h 1m 53s,,,,,,13159,34,0,2411,2135,231044
0h 1m 54s,,,,,,13159,34,0,2091,2126,233135
0h 1m 55s,,,,,,13159,35,0,2061,2113,235196
0h 1m 56s,,,,,,13159,35,0,1776,2046,236972
0h 1m 57s,,,,,,13159,36,0,1749,1987,238721
0h 1m 58s,,,,,,13159,36,0,1870,1964,240591
0h 1m 59s,,,,,,13165,36,0,2375,2046,242966
0h 2m 0s,,,,,,13167,36,0,2305,2098,245271
0h 2m 1s,,,,,,13167,36,0,1821,2043,247092
0h 2m 2s,,,,,,13168,36,0,1629,1960,248721
0h 2m 3s,,,,,,13168,36,0,1393,1847,250114
0h 2m 4s,,,,,,13168,36,0,1996,1877,252110
