Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes,Stats Coverage,Samples,Discarded,Exec/s,Avg Exec/s,Total Execs
0h 0m 0s,,,,,,0,396,0,0,0,0
0h 0m 1s,,,,,,0,396,0,0,0,0
0h 0m 2s,,,,,,0,396,0,0,0,0
0h 0m 3s,,,,,,0,396,0,0,0,0
0h 0m 4s,,,,,,0,396,0,0,0,0
0h 0m 5s,,,,,,0,396,0,0,0,0
0h 0m 6s,,,,,,0,396,0,0,0,0
0h 0m 7s,,,,,,0,396,0,0,0,0
0h 0m 8s,,,,,,0,396,0,0,0,0
0h 0m 9s,,,,,,13475,396,0,273,55,273
0h 0m 10s,,,,,,13524,396,0,1853,415,2126
0h 0m 11s,,,,,,13526,396,0,2846,901,4972
0h 0m 12s,,,,,,13529,396,0,2691,1259,7663
0h 0m 13s,,,,,,13594,396,0,2465,1500,10128
0h 0m 14s,,,,,,13596,396,0,2671,1734,12799
0h 0m 15s,,,,,,13596,396,0,1917,1771,14716
0h 0m 16s,,,,,,13599,396,0,2417,1900,17133
0h 0m 17s,,,,,,13607,396,0,2498,2020,19631
0h 0m 18s,,,,,,13609,396,0,2019,2020,21650
0h 0m 19s,,,,,,13615,396,0,1790,1974,23440
0h 0m 20s,,,,,,13615,396,0,2034,1986,25474
0h 0m 21s,,,,,,13624,396,0,2059,2001,27533
0h 0m 22s,,,,,,13631,396,0,2556,2112,30089
0h 0m 23s,,,,,,13632,396,0,2545,2199,32634
0h 0m 24s,,,,,,13639,396,0,2903,2340,35537
0h 0m 25s,,,,,,13640,396,0,2944,2461,38481
0h 0m 26s,,,,,,13642,396,0,2770,2523,41251
0h 0m 27s,,,,,,13663,396,0,2137,2446,43388
0h 0m 28s,,,,,,13665,396,0,2394,2436,45782
0h 0m 29s,,,,,,13669,396,0,1382,2225,47164
0h 0m 30s,,,,,,13693,396,0,1901,2160,49065
0h 0m 31s,,,,,,13694,396,0,2218,2172,51283
0h 0m 32s,,,,,,13717,396,0,2236,2185,53519
0h 0m 33s,,,,,,13718,396,0,2625,2273,56144
0h 0m 34s,,,,,,13718,396,0,2645,2347,58789
0h 0m 35s,,,,,,13718,397,0,2783,2434,61572
0h 0m 36s,,,,,,13721,398,0,2310,2409,63882
0h 0m 37s,,,,,,13721,399,0,2807,2489,66689
0h 0m 38s,,,,,,13723,399,0,1802,2352,68491
0h 0m 39s,,,,,,13725,399,0,1407,2163,69898
0h 0m 40s,,,,,,13726,399,0,549,1840,70447
0h 0m 41s,,,,,,13726,399,0,369,1546,70816
0h 0m 42s,,,,,,13726,399,0,369,1311,71185
0h 0m 43s,,,,,,13726,399,0,577,1164,71762
0h 0m 44s,,,,,,13739,399,0,1162,1164,72924
0h 0m 45s,,,,,,13739,399,0,296,990,73220
0h 0m 46s,,,,,,13739,399,0,64,805,73284
0h 0m 47s,,,,,,13739,399,0,0,644,73284
0h 0m 48s,,,,,,13739,399,0,419,599,73703
0h 0m 49s,,,,,,13739,399,0,435,566,74138
0h 0m 50s,,,,,,13739,399,0,99,473,74237
0h 0m 51s,,,,,,13739,399,0,122,403,74359
0h 0m 52s,,,,,,13739,399,0,109,344,74468
0h 0m 53s,,,,,,13739,399,0,159,307,74627
0h 0m 54s,,,,,,13739,399,0,163,278,74790
0h 0m 55s,,,,,,13739,399,0,526,328,75316
0h 0m 56s,,,,,,13739,399,0,325,327,75641
0h 0m 57s,,,,,,13754,399,0,379,337,76020
0h 0m 58s,,,,,,13775,399,0,317,333,76337
0h 0m 59s,,,,,,13775,399,0,115,289,76452
0h 1m 0s,,,,,,13775,399,0,0,231,76452
0h 1m 1s,,,,,,13775,399,0,107,206,76559
0h 1m 2s,,,,,,13775,399,0,0,165,76559
0h 1m 3s,,,,,,13775,399,0,300,192,76859
0h 1m 4s,,,,,,13775,399,0,235,201,77094
0h 1m 5s,,,,,,13775,399,0,298,220,77392
0h 1m 6s,,,,,,13775,399,0,329,242,77721
0h 1m 7s,,,,,,13776,399,0,748,343,78469
0h 1m 8s,,,,,,13776,399,0,1765,627,80234
0h 1m 9s,,,,,,13776,399,0,2527,1007,82761
0h 1m 10s,,,,,,13776,399,0,1971,1200,84732
0h 1m 11s,,,,,,13792,399,0,1270,1214,86002
0h 1m 12s,,,,,,13792,399,0,1111,1193,87113
0h 1m 13s,,,,,,13792,399,0,714,1097,87827
0h 1m 14s,,,,,,13794,399,0,1149,1107,88976
0h 1m 15s,,,,,,13801,399,0,732,1032,89708
0h 1m 16s,,,,,,13804,399,0,1016,1029,90724
0h 1m 17s,,,,,,13804,399,0,2099,1243,92823
0h 1m 18s,,,,,,13805,399,0,1568,1308,94391
0h 1m 19s,,,,,,13805,399,0,1994,1445,96385
0h 1m 20s,,,,,,13823,399,0,1959,1548,98344
0h 1m 21s,,,,,,13825,399,0,1087,1456,99431
0h 1m 22s,,,,,,13826,399,0,1333,1431,100764
0h 1m 23s,,,,,,13826,400,0,1716,1488,102480
0h 1m 24s,,,,,,13826,401,0,1888,1568,104368
0h 1m 25s,,,,,,13826,401,0,2381,1731,106749
0h 1m 26s,,,,,,13828,401,0,1881,1761,108630
0h 1m 27s,,,,,,13828,401,0,2390,1887,111020
0h 1m 28s,,,,,,13828,401,0,2534,2016,113554
0h 1m 29s,,,,,,13828,401,0,2208,2054,115762
0h 1m 30s,,,,,,13828,401,0,2148,2073,117910
0h 1m 31s,,,,,,13828,401,0,2526,2164,120436
0h 1m 32s,,,,,,13828,402,0,1778,2087,122214
0h 1m 33s,,,,,,13828,402,0,2293,2128,124507
0h 1m 34s,,,,,,13828,403,0,2680,2238,127187
0h 1m 35s,,,,,,13833,403,0,1685,2127,128872
0h 1m 36s,,,,,,13835,403,0,2335,2169,131207
0h 1m 37s,,,,,,13835,403,0,2589,2253,133796
0h 1m 38s,,,,,,13835,404,0,2515,2305,136311
0h 1m 39s,,,,,,13835,404,0,2102,2264,138413
0h 1m 40s,,,,,,13836,405,0,1688,2149,140101
0h 1m 41s,,,,,,13836,406,0,1970,2113,142071
0h 1m 42s,,,,,,13836,407,0,2453,2181,144524
0h 1m 43s,,,,,,13858,407,0,2382,2221,146906
0h 1m 44s,,,,,,13858,407,0,1753,2127,148659
0h 1m 45s,,,,,,13858,407,0,2223,2146,150882
0h 1m 46s,,,,,,13858,407,0,2059,2129,152941
0h 1m 47s,,,,,,13858,407,0,2206,2144,155147
0h 1m 48s,,,,,,13864,407,0,1569,2029,156716
0h 1m 49s,,,,,,13864,407,0,2036,2030,158752
0h 1m 50s,,,,,,13864,407,0,1800,1984,160552
0h 1m 51s,,,,,,13864,407,0,2390,2065,162942
0h 1m 52s,,,,,,13874,407,0,2365,2125,165307
0h 1m 53s,,,,,,13896,407,0,2614,2223,167921
0h 1m 54s,,,,,,13896,407,0,2539,2286,170460
0h 1m 55s,,,,,,13896,407,0,2099,2249,172559
0h 1m 56s,,,,,,13896,407,0,1848,2169,174407
0h 1m 57s,,,,,,13900,407,0,1647,2065,176054
0h 1m 58s,,,,,,13912,407,0,1160,1884,177214
0h 1m 59s,,,,,,13912,407,0,1973,1902,179187
0h 2m 0s,,,,,,13914,407,0,1867,1895,181054
0h 2m 1s,,,,,,13914,407,0,2421,2000,183475
0h 2m 2s,,,,,,13914,407,0,2761,2152,186236
0h 2m 3s,,,,,,13914,407,0,2349,2191,188585
0h 2m 4s,,,,,,13914,409,0,2407,2234,190992
0h 2m 5s,,,,,,13914,409,0,1795,2146,192787
0h 2m 6s,,,,,,13914,409,0,1718,2060,194505
0h 2m 7s,,,,,,13914,409,0,1961,2040,196466
0h 2m 8s,,,,,,13914,409,0,1797,1991,198263
0h 2m 9s,,,,,,13914,409,0,2227,2038,200490
0h 2m 10s,,,,,,13924,409,0,2584,2147,203074
0h 2m 11s,,,,,,13924,409,0,2117,2141,205191
0h 2m 12s,,,,,,13924,409,0,2137,2140,207328
0h 2m 13s,,,,,,13924,410,0,2348,2182,209676
0h 2m 14s,,,,,,13924,410,0,2540,2254,212216
0h 2m 15s,,,,,,13924,410,0,1625,2128,213841
0h 2m 16s,,,,,,13924,410,0,1333,1969,215174
0h 2m 17s,,,,,,13924,410,0,1289,1833,216463
0h 2m 18s,,,,,,13934,410,0,1670,1800,218133
0h 2m 19s,,,,,,13945,410,0,2045,1849,220178
