Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes,Stats Coverage,Samples,Discarded,Exec/s,Avg Exec/s,Total Execs
0h 0m 0s,,,,,,0,9,0,0,0,0
0h 0m 1s,,,,,,0,9,0,0,0,0
0h 0m 2s,,,,,,12437,9,0,442,88,442
0h 0m 3s,,,,,,12579,9,0,1333,337,1775
0h 0m 4s,,,,,,12687,9,0,740,418,2515
0h 0m 5s,,,,,,12694,9,0,1020,538,3535
0h 0m 6s,,,,,,12715,9,0,1141,659,4676
0h 0m 7s,,,,,,12717,9,0,365,600,5041
0h 0m 8s,,,,,,12717,9,0,151,510,5192
0h 0m 9s,,,,,,12755,9,0,1237,655,6429
0h 0m 10s,,,,,,12805,9,0,1226,769,7655
0h 0m 11s,,,,,,12815,9,0,673,750,8328
0h 0m 12s,,,,,,12820,9,0,903,781,9231
0h 0m 13s,,,,,,12835,9,0,1016,828,10247
0h 0m 14s,,,,,,12868,9,0,1045,871,11292
0h 0m 15s,,,,,,12881,9,0,1433,983,12725
0h 0m 16s,,,,,,12960,9,0,1091,1005,13816
0h 0m 17s,,,,,,13278,9,0,1652,1134,15468
0h 0m 18s,,,,,,13281,9,0,1459,1199,16927
0h 0m 19s,,,,,,13382,9,0,1706,1300,18633
0h 0m 20s,,,,,,13400,9,0,1474,1335,20107
0h 0m 21s,,,,,,13400,9,0,1189,1306,21296
0h 0m 22s,,,,,,13401,9,0,998,1244,22294
0h 0m 23s,,,,,,13401,9,0,609,1117,22903
0h 0m 24s,,,,,,13402,9,0,996,1093,23899
0h 0m 25s,,,,,,13402,9,0,662,1007,24561
0h 0m 26s,,,,,,13405,9,0,1175,1041,25736
0h 0m 27s,,,,,,13406,9,0,789,991,26525
0h 0m 28s,,,,,,13407,9,0,1088,1010,27613
0h 0m 29s,,,,,,13409,9,0,1624,1133,29237
0h 0m 30s,,,,,,13409,9,0,995,1105,30232
0h 0m 31s,,,,,,13409,9,0,1520,1188,31752
0h 0m 32s,,,,,,13409,9,0,1298,1210,33050
0h 0m 33s,,,,,,13416,9,0,981,1164,34031
0h 0m 34s,,,,,,13440,9,0,1172,1166,35203
0h 0m 35s,,,,,,13441,9,0,1038,1140,36241
0h 0m 36s,,,,,,13445,10,0,1481,1208,37722
0h 0m 37s,,,,,,13446,11,0,1187,1204,38909
0h 0m 38s,,,,,,13449,12,0,1027,1169,39936
0h 0m 39s,,,,,,13450,12,0,1340,1203,41276
0h 0m 40s,,,,,,13493,12,0,1511,1265,42787
0h 0m 41s,,,,,,13493,12,0,1705,1353,44492
0h 0m 42s,,,,,,13493,12,0,1339,1350,45831
0h 0m 43s,,,,,,13552,14,0,1465,1373,47296
0h 0m 44s,,,,,,13552,14,0,1127,1324,48423
0h 0m 45s,,,,,,13562,14,0,1086,1276,49509
0h 0m 46s,,,,,,13562,14,0,1573,1335,51082
0h 0m 47s,,,,,,13582,14,0,1632,1394,52714
0h 0m 48s,,,,,,13582,14,0,1623,1440,54337
0h 0m 49s,,,,,,13582,14,0,1069,1366,55406
0h 0m 50s,,,,,,14117,14,0,1201,1333,56607
0h 0m 51s,,,,,,14119,14,0,1035,1273,57642
0h 0m 52s,,,,,,14121,14,0,686,1156,58328
0h 0m 53s,,,,,,14121,14,0,1020,1129,59348
0h 0m 54s,,,,,,14121,14,0,895,1082,60243
0h 0m 55s,,,,,,14125,14,0,1030,1072,61273
0h 0m 56s,,,,,,14126,14,0,1090,1076,62363
0h 0m 57s,,,,,,14126,14,0,683,997,63046
0h 0m 58s,,,,,,14126,14,0,909,979,63955
0h 0m 59s,,,,,,14127,14,0,757,935,64712
0h 1m 0s,,,,,,14133,14,0,1290,1006,66002
0h 1m 1s,,,,,,14133,14,0,1448,1094,67450
0h 1m 2s,,,,,,14135,14,0,1572,1190,69022
0h 1m 3s,,,,,,14153,14,0,1760,1304,70782
0h 1m 4s,,,,,,14155,14,0,1176,1278,71958
0h 1m 5s,,,,,,14157,14,0,1618,1346,73576
0h 1m 6s,,,,,,14180,14,0,1916,1460,75492
0h 1m 7s,,,,,,14180,14,0,1286,1425,76778
0h 1m 8s,,,,,,14180,14,0,1251,1390,78029
0h 1m 9s,,,,,,14182,14,0,1057,1323,79086
0h 1m 10s,,,,,,14186,14,0,1124,1283,80210
0h 1m 11s,,,,,,14187,14,0,1169,1260,81379
0h 1m 12s,,,,,,14240,15,0,833,1175,82212
0h 1m 13s,,,,,,14240,16,0,1499,1240,83711
0h 1m 14s,,,,,,14243,16,0,1000,1192,84711
0h 1m 15s,,,,,,14264,16,0,1291,1212,86002
0h 1m 16s,,,,,,14264,17,0,1357,1241,87359
0h 1m 17s,,,,,,14279,18,0,774,1148,88133
0h 1m 18s,,,,,,14280,18,0,1162,1151,89295
0h 1m 19s,,,,,,14282,18,0,1006,1122,90301
