Elapsed Time,Coverage,Exec/s,Avg Exec/s,Total Execs,MaxCov
0h 0m 0s,0,0,0,0,0
0h 0m 2s,8967,0,0,0,0
0h 0m 2s,9080,0,0,0,0
0h 0m 4s,11577,0,0,0,0
0h 0m 4s,11582,0,0,0,0
0h 0m 5s,11582,0,0,0,0
0h 0m 6s,11582,925,185,925,11582
0h 0m 7s,11585,0,148,925,11582
0h 0m 8s,11585,682,255,1607,11585
0h 0m 9s,11984,0,204,1607,11585
0h 0m 10s,11984,519,267,2126,11984
0h 0m 11s,11987,639,341,2765,11985
0h 0m 12s,11987,1320,537,4085,11987
0h 0m 13s,11988,2037,837,6122,11988
0h 0m 14s,11988,824,834,6946,11988
0h 0m 16s,11993,741,815,7687,11992
0h 0m 16s,11993,0,652,7687,11992
0h 0m 17s,12077,1246,771,8933,12077
0h 0m 18s,12081,1100,837,10033,12081
0h 0m 19s,12081,1908,1051,11941,12081
0h 0m 20s,12081,0,841,11941,12081
0h 0m 21s,12093,2332,1139,14273,12093
0h 0m 23s,12096,652,1042,14925,12093
0h 0m 24s,12106,1069,1047,15994,12106
0h 0m 24s,12162,378,913,16372,12106
0h 0m 25s,12164,436,818,16808,12162
0h 0m 26s,12164,560,766,17368,12164
0h 0m 27s,12164,642,741,18010,12164
0h 0m 28s,12165,1296,852,19306,12165
0h 0m 30s,12352,1186,919,20492,12352
0h 0m 30s,12352,0,735,20492,12352
0h 0m 31s,12352,581,704,21073,12352
0h 0m 32s,12365,578,679,21651,12365
0h 0m 33s,12365,2106,964,23757,12365
0h 0m 34s,12365,0,771,23757,12365
0h 0m 35s,12366,1885,994,25642,12366
0h 0m 37s,12406,1034,1002,26676,12366
0h 0m 37s,12407,499,901,27175,12406
0h 0m 38s,12407,2681,1257,29856,12407
0h 0m 39s,12410,644,1134,30500,12407
0h 0m 40s,12410,630,1033,31130,12410
0h 0m 41s,12410,0,826,31130,12410
0h 0m 43s,12411,534,768,31664,12410
0h 0m 43s,12757,0,614,31664,12410
0h 0m 44s,12768,0,491,31664,12410
0h 0m 45s,12768,1435,680,33099,12768
0h 0m 46s,12768,584,661,33683,12768
0h 0m 48s,12770,1948,918,35631,12770
0h 0m 49s,12770,1409,1016,37040,12770
0h 0m 49s,12770,708,954,37748,12770
0h 0m 51s,12770,1278,1019,39026,12770
0h 0m 51s,12770,889,993,39915,12770
0h 0m 53s,12819,2049,1204,41964,12819
0h 0m 53s,12819,0,963,41964,12819
0h 0m 54s,12819,620,894,42584,12819
0h 0m 55s,12827,0,715,42584,12819
0h 0m 56s,12827,0,572,42584,12819
0h 0m 57s,12829,726,603,43310,12829
0h 0m 58s,12832,2315,945,45625,12832
0h 0m 59s,12832,1513,1059,47138,12832
0h 1m 0s,12832,682,984,47820,12832
0h 1m 1s,12832,1350,1057,49170,12832
0h 1m 2s,12832,0,846,49170,12832
0h 1m 4s,12866,0,677,49170,12832
0h 1m 5s,12866,559,653,49729,12866
0h 1m 5s,12866,1821,887,51550,12866
0h 1m 7s,12995,807,871,52357,12868
0h 1m 8s,12995,1923,1081,54280,12995
0h 1m 8s,12996,0,865,54280,12995
0h 1m 10s,12999,2308,1154,56588,12999
0h 1m 10s,12999,0,923,56588,12999
0h 1m 11s,13000,0,738,56588,12999
0h 1m 13s,13008,1514,893,58102,13000
0h 1m 13s,13008,2204,1155,60306,13008
0h 1m 14s,13008,0,924,60306,13008
0h 1m 15s,13017,0,739,60306,13008
0h 1m 16s,13017,1638,919,61944,13017
0h 1m 17s,13017,1101,955,63045,13017
0h 1m 19s,13017,1621,1088,64666,13017
0h 1m 20s,13028,1714,1213,66380,13028
0h 1m 20s,13031,480,1066,66860,13031
0h 1m 22s,13031,1482,1149,68342,13031
0h 1m 22s,13031,399,999,68741,13031
0h 1m 24s,13035,1190,1037,69931,13031
0h 1m 25s,13035,3757,1581,73688,13035
0h 1m 25s,13035,0,1265,73688,13035
0h 1m 26s,13035,0,1012,73688,13035
0h 1m 27s,13039,1207,1051,74895,13039
0h 1m 29s,13040,1508,1142,76403,13039
0h 1m 30s,13042,745,1063,77148,13042
0h 1m 30s,13042,0,850,77148,13042
0h 1m 31s,13042,1358,952,78506,13042
0h 1m 33s,13042,711,904,79217,13042
0h 1m 34s,13042,770,877,79987,13042
0h 1m 35s,13042,3724,1446,83711,13042
0h 1m 35s,13042,0,1157,83711,13042
0h 1m 36s,13044,1470,1220,85181,13044
0h 1m 37s,13047,1377,1251,86558,13047
0h 1m 38s,13047,2978,1596,89536,13047
0h 1m 39s,13047,1108,1498,90644,13047
0h 1m 40s,13047,736,1346,91380,13047
0h 1m 41s,13049,0,1077,91380,13047
0h 1m 43s,13126,686,999,92066,13050
0h 1m 43s,13126,707,941,92773,13126
0h 1m 44s,13126,597,872,93370,13126
0h 1m 45s,13126,663,830,94033,13126
0h 1m 46s,13126,2185,1101,96218,13126
0h 1m 47s,13176,0,881,96218,13126
0h 1m 49s,13182,491,803,96709,13181
0h 1m 49s,13184,550,752,97259,13182
0h 1m 50s,13184,0,602,97259,13182
0h 1m 52s,13185,1999,881,99258,13185
0h 1m 52s,13186,579,821,99837,13186
0h 1m 53s,13192,0,657,99837,13186
0h 1m 55s,13192,2911,1108,102748,13192
0h 1m 55s,13192,0,886,102748,13192
0h 1m 57s,13195,1865,1082,104613,13195
0h 1m 57s,13195,0,866,104613,13195
0h 1m 59s,13195,1634,1020,106247,13195
0h 1m 59s,13195,1165,1049,107412,13195
0h 2m 1s,13195,839,1007,108251,13195
0h 2m 1s,13195,592,924,108843,13195
0h 2m 3s,13195,1352,1010,110195,13195
0h 2m 3s,13195,1826,1173,112021,13195
0h 2m 4s,13206,522,1043,112543,13195
0h 2m 6s,13211,1835,1201,114378,13211
0h 2m 6s,13213,1809,1323,116187,13213
0h 2m 7s,13213,739,1206,116926,13213
0h 2m 8s,13213,1177,1200,118103,13213
0h 2m 10s,13218,1923,1345,120026,13218
0h 2m 10s,13218,0,1076,120026,13218
0h 2m 11s,13218,0,861,120026,13218
0h 2m 13s,13218,1248,938,121274,13218
0h 2m 14s,13218,1295,1009,122569,13218
0h 2m 14s,13218,1798,1167,124367,13218
0h 2m 15s,13218,1176,1169,125543,13218
0h 2m 16s,13219,1104,1156,126647,13219
0h 2m 17s,13219,0,925,126647,13219
0h 2m 18s,13219,780,896,127427,13219
0h 2m 20s,13219,811,879,128238,13219
0h 2m 21s,13219,1396,982,129634,13219
0h 2m 22s,13219,1461,1078,131095,13219
0h 2m 22s,13219,554,973,131649,13219
0h 2m 23s,13219,677,914,132326,13219
0h 2m 25s,13219,2598,1251,134924,13219
0h 2m 25s,13219,531,1107,135455,13219
0h 2m 26s,13219,1192,1124,136647,13219
0h 2m 28s,13231,2860,1471,139507,13231
0h 2m 28s,13231,0,1177,139507,13231
