Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes
0h 0m 16s,20252,1,10610,62,0
0h 0m 17s,20248,1,10603,59,0
0h 0m 21s,20250,1,10730,69,0
0h 0m 23s,20253,1,10618,59,0
0h 0m 28s,20254,1,10632,67,0
0h 0m 28s,20251,1,10711,71,0
0h 0m 32s,20249,1,10751,71,0
0h 0m 40s,20252,2,10670,414,0
0h 0m 45s,20248,2,10778,419,0
0h 0m 51s,20250,2,10801,445,0
0h 0m 52s,20253,2,10847,455,0
0h 0m 55s,20254,2,10917,477,0
0h 1m 1s,20251,2,10850,481,0
0h 1m 2s,20249,2,10815,501,0
0h 1m 7s,20252,3,10935,539,0
0h 1m 9s,20248,3,10896,567,0
0h 1m 21s,20250,3,10960,596,0
0h 1m 21s,20253,3,10963,595,0
0h 1m 23s,20254,3,11061,599,0
0h 1m 30s,20251,3,11055,620,0
0h 1m 32s,20249,3,11081,622,0
0h 1m 37s,20252,4,10970,635,0
0h 1m 37s,20248,4,11082,641,0
0h 1m 50s,20253,4,10997,674,0
0h 1m 52s,20254,4,11115,678,0
0h 1m 58s,20250,4,11063,671,0
0h 1m 59s,20251,4,11096,689,0
0h 2m 1s,20249,4,11116,692,0
0h 2m 9s,20252,5,11084,700,0
0h 2m 19s,20248,5,11198,700,0
0h 2m 22s,20253,5,11058,726,0
0h 2m 23s,20254,5,11123,722,0
0h 2m 27s,20250,5,11096,723,0
0h 2m 30s,20249,5,11182,727,0
0h 2m 32s,20251,5,11173,730,0
0h 2m 44s,20252,6,11162,735,0
0h 2m 50s,20248,6,11243,751,0
0h 2m 55s,20253,6,11077,756,0
0h 2m 56s,20254,6,11174,756,0
0h 2m 59s,20250,6,11135,763,0
0h 3m 2s,20249,6,11221,765,0
0h 3m 9s,20251,6,11356,772,0
0h 3m 20s,20252,7,11231,778,0
0h 3m 30s,20253,7,11237,793,0
0h 3m 33s,20254,7,11201,794,0
0h 3m 37s,20250,7,11154,798,0
0h 3m 46s,20248,7,11274,785,0
0h 3m 49s,20251,7,11414,814,0
0h 3m 58s,20249,7,11323,802,0
0h 4m 6s,20254,8,11215,827,0
0h 4m 16s,20248,8,11329,836,0
0h 4m 22s,20251,8,11427,841,0
0h 4m 37s,20250,8,11460,834,0
0h 4m 47s,20249,8,11333,846,0
0h 4m 57s,20254,9,11341,854,0
0h 5m 8s,20248,9,11385,847,0
0h 5m 28s,20250,9,11465,862,0
0h 5m 47s,20249,9,11337,869,0
0h 5m 50s,20252,8,11326,823,0
0h 6m 27s,20252,9,11490,882,0
0h 6m 36s,20249,10,11349,876,0
0h 6m 55s,20251,9,11492,858,0
0h 7m 18s,20253,8,11259,830,0
0h 7m 35s,20254,10,11354,877,0
0h 7m 37s,20251,10,11516,908,0
0h 7m 51s,20252,10,11504,895,0
0h 8m 48s,20251,11,11518,916,0
0h 9m 25s,20248,10,11397,870,0
