Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes
0h 1m 58s,27461,1,2739,76095,0
0h 1m 58s,27467,1,2855,76096,0
0h 1m 58s,27462,1,2857,76095,0
0h 1m 58s,27461,2,2895,76096,0
0h 1m 58s,27467,2,2862,76097,0
0h 1m 58s,27468,1,2897,76097,0
0h 1m 58s,27461,3,4160,76097,0
0h 1m 58s,27467,3,3128,76099,0
0h 1m 58s,27462,2,3332,76098,0
0h 1m 58s,27462,3,3332,76098,0
0h 1m 58s,27465,1,5097,76102,0
0h 1m 58s,27459,1,4096,76103,0
0h 1m 58s,27468,2,4652,76100,0
0h 1m 58s,27465,2,5266,76103,0
0h 1m 58s,27461,4,5323,76102,0
0h 1m 58s,27459,2,5332,76107,0
0h 1m 58s,27468,3,5304,76104,0
0h 1m 58s,27467,4,5100,76105,0
0h 1m 59s,27465,3,5759,76106,0
0h 1m 59s,27460,1,5269,76102,0
0h 1m 59s,27462,4,5515,76105,0
0h 1m 59s,27459,3,5884,76110,0
0h 1m 59s,27460,2,5340,76103,0
0h 1m 59s,27465,4,5759,76106,0
0h 1m 59s,27468,4,5324,76104,0
0h 1m 59s,27468,5,5417,76105,0
0h 1m 59s,27460,3,5465,76106,0
0h 1m 59s,27459,4,5891,76111,0
0h 1m 59s,27461,5,5381,76104,0
0h 1m 59s,27468,6,5640,76110,0
0h 1m 59s,27468,7,5984,76112,0
0h 2m 0s,27461,6,6008,76111,0
0h 2m 0s,27460,4,5872,76109,0
0h 2m 0s,27461,7,6033,76111,0
0h 2m 0s,27468,8,6032,76113,0
0h 2m 0s,27461,8,6081,76112,0
0h 2m 0s,27468,9,6228,76115,0
0h 2m 0s,27461,9,6276,76114,0
0h 2m 0s,27468,10,6312,76116,0
0h 2m 0s,27468,11,6360,76116,0
0h 2m 0s,27461,10,6444,76116,0
0h 2m 1s,27461,11,6494,76117,0
0h 2m 1s,27462,5,5516,76105,0
0h 2m 1s,27459,5,6114,76114,0
0h 2m 1s,27468,12,6441,76117,0
0h 2m 1s,27468,13,6443,76117,0
0h 2m 1s,27461,12,6507,76117,0
0h 2m 1s,27459,6,6179,76116,0
0h 2m 1s,27459,7,6181,76116,0
0h 2m 1s,27459,8,6261,76117,0
0h 2m 1s,27461,13,8905,76118,0
0h 2m 1s,27467,5,5647,76108,0
0h 2m 1s,27467,6,5864,76113,0
0h 2m 1s,27462,6,6176,76111,0
0h 2m 1s,27465,5,5815,76107,0
0h 2m 1s,27468,14,6448,76117,0
0h 2m 1s,27468,15,6452,76117,0
0h 2m 1s,27468,16,6452,76117,0
0h 2m 1s,27459,9,6460,76119,0
0h 2m 1s,27467,7,5984,76115,0
0h 2m 2s,27461,14,9627,76119,0
0h 2m 2s,27462,7,6363,76117,0
0h 2m 2s,27462,8,6363,76117,0
0h 2m 2s,27459,10,6586,76121,0
0h 2m 2s,27465,6,7243,76119,0
0h 2m 2s,27461,15,9637,76119,0
0h 2m 2s,27462,9,6438,76118,0
0h 2m 2s,27467,8,6066,76117,0
0h 2m 2s,27462,10,6525,76119,0
0h 2m 2s,27459,11,6660,76123,0
0h 2m 2s,27468,17,6628,76119,0
0h 2m 2s,27465,7,7348,76121,0
0h 2m 2s,27468,18,6687,76119,0
0h 2m 2s,27467,9,6340,76119,0
0h 2m 2s,27462,11,6722,76122,0
0h 2m 2s,27468,19,6721,76121,0
