Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes,Stats Coverage,Samples,Discarded,Exec/s,Avg Exec/s,Total Execs
0h 0m 0s,,,,,,11583,8,0,391,78,391
0h 0m 1s,,,,,,11692,8,0,1094,281,1485
0h 0m 2s,,,,,,11748,8,0,1478,520,2963
0h 0m 3s,,,,,,11882,8,0,2508,918,5471
0h 0m 4s,,,,,,11886,8,0,2358,1206,7829
0h 0m 5s,,,,,,11931,8,0,1663,1297,9492
0h 0m 6s,,,,,,11944,8,0,1515,1341,11007
0h 0m 7s,,,,,,11961,8,0,1854,1444,12861
0h 0m 8s,,,,,,11964,8,0,1984,1552,14845
0h 0m 9s,,,,,,12031,8,0,1901,1622,16746
0h 0m 10s,,,,,,12039,8,0,1805,1659,18551
0h 0m 11s,,,,,,12144,8,0,2169,1761,20720
0h 0m 12s,,,,,,12147,8,0,1917,1792,22637
0h 0m 13s,,,,,,12195,8,0,1880,1810,24517
0h 0m 14s,,,,,,12195,8,0,1482,1744,25999
0h 0m 15s,,,,,,12200,8,0,1544,1704,27543
0h 0m 16s,,,,,,12200,8,0,1661,1695,29204
0h 0m 17s,,,,,,12200,8,0,963,1549,30167
0h 0m 18s,,,,,,12219,8,0,2008,1641,32175
0h 0m 19s,,,,,,12219,8,0,1968,1706,34143
0h 0m 20s,,,,,,12220,8,0,1742,1713,35885
0h 0m 21s,,,,,,12221,8,0,1525,1675,37410
0h 0m 22s,,,,,,12230,8,0,2005,1741,39415
0h 0m 23s,,,,,,12230,9,0,1946,1782,41361
0h 0m 24s,,,,,,12238,10,0,1263,1678,42624
0h 0m 25s,,,,,,12239,10,0,982,1539,43606
0h 0m 26s,,,,,,12242,11,0,1159,1463,44765
0h 0m 27s,,,,,,12242,12,0,2261,1623,47026
0h 0m 28s,,,,,,12253,13,0,1712,1641,48738
0h 0m 29s,,,,,,12253,14,0,1487,1610,50225
0h 0m 30s,,,,,,12268,14,0,1551,1598,51776
0h 0m 31s,,,,,,12268,14,0,1634,1605,53410
0h 0m 32s,,,,,,12298,14,0,2144,1713,55554
0h 0m 33s,,,,,,12300,14,0,1272,1625,56826
0h 0m 34s,,,,,,12331,14,0,1769,1654,58595
0h 0m 35s,,,,,,12331,14,0,1840,1691,60435
0h 0m 36s,,,,,,12337,14,0,1917,1736,62352
0h 0m 37s,,,,,,12340,15,0,1381,1665,63733
0h 0m 38s,,,,,,12343,15,0,1195,1571,64928
0h 0m 39s,,,,,,12343,15,0,1660,1589,66588
0h 0m 40s,,,,,,12343,15,0,1508,1573,68096
0h 0m 41s,,,,,,12345,15,0,1749,1608,69845
0h 0m 42s,,,,,,12345,15,0,1586,1604,71431
0h 0m 43s,,,,,,12349,15,0,996,1482,72427
0h 0m 44s,,,,,,12349,15,0,804,1346,73231
0h 0m 45s,,,,,,12349,15,0,1193,1315,74424
0h 0m 46s,,,,,,12350,15,0,1373,1327,75797
0h 0m 47s,,,,,,12355,15,0,1967,1455,77764
0h 0m 48s,,,,,,12357,15,0,1604,1485,79368
0h 0m 49s,,,,,,12357,16,0,1736,1535,81104
0h 0m 50s,,,,,,12357,16,0,1719,1572,82823
0h 0m 51s,,,,,,12357,17,0,2060,1670,84883
0h 0m 52s,,,,,,12358,19,0,1924,1721,86807
0h 0m 53s,,,,,,12409,19,0,1690,1715,88497
0h 0m 54s,,,,,,12496,19,0,1690,1710,90187
0h 0m 55s,,,,,,12503,19,0,1532,1674,91719
0h 0m 56s,,,,,,12503,19,0,1678,1675,93397
0h 0m 57s,,,,,,12505,20,0,1418,1624,94815
0h 0m 58s,,,,,,12505,20,0,1100,1519,95915
0h 0m 59s,,,,,,12505,21,0,1760,1567,97675
0h 1m 0s,,,,,,12513,21,0,1991,1652,99666
0h 1m 1s,,,,,,12513,21,0,1375,1597,101041
0h 1m 2s,,,,,,12513,21,0,1468,1571,102509
0h 1m 3s,,,,,,12513,21,0,1457,1548,103966
0h 1m 4s,,,,,,12513,21,0,1193,1477,105159
0h 1m 5s,,,,,,12513,21,0,2283,1638,107442
0h 1m 6s,,,,,,12531,21,0,1609,1632,109051
0h 1m 7s,,,,,,12541,21,0,1822,1670,110873
0h 1m 8s,,,,,,12541,21,0,1988,1734,112861
0h 1m 9s,,,,,,12541,21,0,2290,1845,115151
0h 1m 10s,,,,,,12546,22,0,1630,1802,116781
0h 1m 11s,,,,,,12546,22,0,1368,1715,118149
0h 1m 12s,,,,,,12546,22,0,1631,1698,119780
0h 1m 13s,,,,,,12546,22,0,1783,1715,121563
0h 1m 14s,,,,,,12546,22,0,1468,1666,123031
0h 1m 15s,,,,,,12547,23,0,1723,1677,124754
0h 1m 16s,,,,,,12547,23,0,2218,1785,126972
0h 1m 17s,,,,,,12547,24,0,2035,1835,129007
0h 1m 18s,,,,,,12551,25,0,1347,1737,130354
0h 1m 19s,,,,,,12551,26,0,1815,1753,132169
0h 1m 20s,,,,,,12551,26,0,1792,1761,133961
0h 1m 21s,,,,,,12551,26,0,1060,1621,135021
0h 1m 22s,,,,,,12551,26,0,1141,1525,136162
0h 1m 23s,,,,,,12553,26,0,1495,1519,137657
0h 1m 24s,,,,,,12553,26,0,1306,1476,138963
0h 1m 25s,,,,,,12553,26,0,1595,1500,140558
0h 1m 26s,,,,,,12563,26,0,1782,1556,142340
0h 1m 27s,,,,,,12563,27,0,1800,1605,144140
0h 1m 28s,,,,,,12563,27,0,1772,1638,145912
0h 1m 29s,,,,,,12563,27,0,1919,1694,147831
0h 1m 30s,,,,,,12575,27,0,1907,1737,149738
