Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes
0h 1m 59s,36714,1,2107,76094,0
0h 1m 59s,36704,1,2758,76093,0
0h 1m 59s,36704,2,2907,76095,0
0h 1m 59s,36706,1,2116,76096,0
0h 1m 59s,36706,2,2302,76100,0
0h 1m 59s,36713,1,2918,76098,0
0h 1m 59s,36708,1,2861,76095,0
0h 1m 59s,36714,2,2260,76099,0
0h 2m 0s,36713,2,3152,76101,0
0h 2m 0s,36707,1,4743,76099,0
0h 2m 0s,36704,3,4337,76099,0
0h 2m 0s,36705,1,5151,76099,0
0h 2m 0s,36706,3,4370,76105,0
0h 2m 0s,36713,3,4299,76102,0
0h 2m 0s,36714,3,5088,76104,0
0h 2m 0s,36708,2,5312,76101,0
0h 2m 0s,36707,2,5046,76103,0
0h 2m 0s,36705,2,5352,76102,0
0h 2m 0s,36704,4,5276,76101,0
0h 2m 0s,36708,3,5437,76103,0
0h 2m 0s,36704,5,5370,76103,0
0h 2m 0s,36707,3,5472,76104,0
0h 2m 0s,36706,4,5348,76107,0
0h 2m 0s,36705,3,5607,76104,0
0h 2m 1s,36714,4,5187,76106,0
0h 2m 1s,36705,4,5616,76105,0
0h 2m 1s,36707,4,5719,76108,0
0h 2m 1s,36704,6,5684,76110,0
0h 2m 1s,36714,5,5188,76107,0
0h 2m 1s,36714,6,5262,76108,0
0h 2m 1s,36713,4,5390,76106,0
0h 2m 1s,36708,4,5502,76105,0
0h 2m 1s,36704,7,5997,76112,0
0h 2m 1s,36704,8,6045,76113,0
0h 2m 1s,36704,9,6241,76115,0
0h 2m 1s,36714,7,5682,76111,0
0h 2m 1s,36704,10,6331,76116,0
0h 2m 1s,36708,5,5844,76106,0
0h 2m 1s,36708,6,6037,76109,0
0h 2m 1s,36714,8,5683,76111,0
0h 2m 1s,36704,11,6406,76119,0
0h 2m 2s,36708,7,6254,76112,0
0h 2m 2s,36714,9,5879,76113,0
0h 2m 2s,36708,8,6287,76113,0
