Elapsed Time,Coverage,Exec/s,Avg Exec/s,Total Execs,MaxCov
0h 0m 0s,6672,0,0,0,0
0h 0m 1s,9547,0,0,0,0
0h 0m 2s,9549,0,0,0,0
0h 0m 3s,12280,0,0,0,0
0h 0m 4s,12411,0,0,0,0
0h 0m 5s,12413,0,0,0,0
0h 0m 6s,12419,381,76,381,12417
0h 0m 7s,12425,647,190,1028,12419
0h 0m 8s,12432,552,262,1580,12432
0h 0m 9s,12432,1681,546,3261,12432
0h 0m 10s,12547,1182,673,4443,12547
0h 0m 11s,12547,1244,787,5687,12547
0h 0m 12s,12552,1290,888,6977,12550
0h 0m 13s,12571,730,856,7707,12552
0h 0m 14s,12667,2002,1085,9709,12667
0h 0m 15s,12682,1358,1140,11067,12681
0h 0m 16s,12682,730,1058,11797,12682
0h 0m 17s,12790,693,985,12490,12684
0h 0m 18s,12790,1172,1022,13662,12790
0h 0m 19s,12790,1400,1098,15062,12790
0h 0m 20s,12829,700,1018,15762,12790
0h 0m 21s,12829,752,965,16514,12829
0h 0m 22s,12853,0,772,16514,12829
0h 0m 23s,12854,1368,891,17882,12854
0h 0m 24s,12854,873,887,18755,12854
0h 0m 25s,12943,594,828,19349,12943
0h 0m 26s,12944,2108,1084,21457,12944
0h 0m 27s,12945,674,1002,22131,12945
0h 0m 28s,12945,1663,1134,23794,12945
0h 0m 29s,12947,1309,1169,25103,12945
0h 0m 30s,12947,2022,1340,27125,12947
0h 0m 31s,12947,0,1072,27125,12947
0h 0m 32s,12947,530,964,27655,12947
0h 0m 33s,12986,2371,1245,30026,12986
0h 0m 34s,12986,1512,1298,31538,12986
0h 0m 35s,12987,485,1135,32023,12986
0h 0m 36s,13043,1822,1272,33845,13043
0h 0m 37s,13046,701,1158,34546,13046
0h 0m 38s,13046,1511,1229,36057,13046
0h 0m 39s,13046,1539,1291,37596,13046
0h 0m 40s,13046,0,1033,37596,13046
0h 0m 41s,13046,535,933,38131,13046
0h 0m 42s,13047,1327,1012,39458,13047
0h 0m 43s,13048,3251,1460,42709,13047
0h 0m 44s,13048,489,1266,43198,13048
0h 0m 45s,13048,1175,1248,44373,13048
0h 0m 46s,13080,565,1111,44938,13048
0h 0m 47s,13080,0,889,44938,13048
0h 0m 48s,13080,920,895,45858,13080
0h 0m 49s,13080,1429,1002,47287,13080
0h 0m 50s,13095,678,937,47965,13080
0h 0m 51s,13138,757,901,48722,13138
0h 0m 52s,13138,1964,1114,50686,13138
0h 0m 53s,13139,1245,1140,51931,13139
0h 0m 54s,13139,1469,1206,53400,13139
0h 0m 55s,13139,1157,1196,54557,13139
0h 0m 56s,13139,823,1121,55380,13139
